id,title,headline,level,locale,rating_average,rating_count,duration_seconds,is_free,is_practice_test_course,instructors,lectures_count,practice_test_questions_count,badges,updated_on,url_course_landing,url_course_taking,image_240x135,tracking_id,hands_on_ribbons
3258918,MySQL dari Nol! Jalur Cepat Memahami Database MySQL,Resep Membuat dan Mengelola Database Semudah Menjentikkan Jari,BEGINNER,id-ID,4.780971050262451,71,8155,False,False,Jubilee Enterprise,38,0,Highest Rated|Highest Rated,2021-05-22,https://www.udemy.com/course/mysql-dari-nol,https://www.udemy.com/course/mysql-dari-nol/learn,https://img-c.udemycdn.com/course/240x135/3258918_a2a1.jpg,pTOfkVS9RuG0ednmhACb1A,
5248474,Baştan Sona JavaScript,Javascripti Derinlemesine Öğrenin ve Fark Yaratın !,BEGINNER,tr-TR,4.436056613922119,61,169398,False,False,Yasin Dalkılıç,452,0,Highest Rated,2023-07-03,https://www.udemy.com/course/bastan-sona-javascript,https://www.udemy.com/course/bastan-sona-javascript/learn,https://img-c.udemycdn.com/course/240x135/5248474_750b.jpg,84D4d6n7RkWhQAOSqti_UQ,
6034806,Master Business Intelligence  BI -- دبلوم ذكاء الاعمال,Learn Business Intelligence  Step-by-Step and Build Expertise Using  Excel,EXPERT,ar-AR,5,209,51338,False,False,Qusay Tawfiq AL-Btoush,29,0,Highest Rated|Highest Rated|Highest Rated,2026-01-15,https://www.udemy.com/course/data-analysis-using-alteryx,https://www.udemy.com/course/data-analysis-using-alteryx/learn,https://img-c.udemycdn.com/course/240x135/6034806_c11d_8.jpg,UizMsJjVSQ2yNcptsSvNcA,
2394060,BigQuery で学ぶ非エンジニアのための SQL データ分析入門,11時間の動画、800枚以上のスライド、130問近い演習問題で、SQLに触れたことのない「非エンジニア」が分析者としてBigQueryで標準SQLを使いこなせることをゴールとしています。,BEGINNER,ja-JP,4.472700595855713,1442,39591,False,False,木田 和廣,95,0,Good for Beginners|Highest Rated|Highest Rated|Bestseller|Good for Beginners|Good for Beginners|Good for Beginners|Bestseller,2026-01-27,https://www.udemy.com/course/bigquerysql,https://www.udemy.com/course/bigquerysql/learn,https://img-c.udemycdn.com/course/240x135/2394060_adbb_4.jpg,bhlb-vBAQLyI7BeGTDD_OA,
597458,Программирование на Java с нуля,Как сделать первые шаги в программировании без каких-либо предварительных знаний. ,INTERMEDIATE,ru-RU,3.8886728286743164,76,20786,False,False,Ivan Golovach,49,0,,2016-03-31,https://www.udemy.com/course/programmirovanie-na-java-c-nula,https://www.udemy.com/course/programmirovanie-na-java-c-nula/learn,https://img-c.udemycdn.com/course/240x135/597458_0079.jpg,-EsWzfIMShyGFydZR9uxLQ,
5390524,Основы языка программирования C++,От новичка к профессионалу: Изучение C++ с нуля с опытным разработчиком от Яндекса!,BEGINNER,ru-RU,4.180095195770264,63,10692,False,False,Daulet Assuov,24,0,,2023-06-28,https://www.udemy.com/course/daqlets-cpp-course,https://www.udemy.com/course/daqlets-cpp-course/learn,https://img-c.udemycdn.com/course/240x135/5390524_cc51_2.jpg,SNJfkrqZRKqh38wNMRtdQw,
1430660,Sıfırdan C++ ve Programlama Öğrenin!,"Etik hackerlık, oyun geliştirme ve çoğu yazılım için kullanılan C++'ı uygulamalar ve çözümlü sorularla öğrenin.",BEGINNER,tr-TR,4.436013698577881,4359,36278,False,False,Prof. Dr. Şadi Evren Şeker,73,0,Good for Beginners|Good for Beginners,2018-03-22,https://www.udemy.com/course/c-ve-programlama-kursu,https://www.udemy.com/course/c-ve-programlama-kursu/learn,https://img-c.udemycdn.com/course/240x135/1430660_00bf.jpg,QuHoDr2ORD6CZomLL5GCjg,
4757068,Python - Técnicas avançadas,Coisas que talvez você não saiba sobre Python. Encante-se e ganhe habilidades!,INTERMEDIATE,pt-BR,4.424748420715332,12,12504,False,False,Júlio Cascalles,29,0,,2024-10-08,https://www.udemy.com/course/truques-em-python,https://www.udemy.com/course/truques-em-python/learn,https://img-c.udemycdn.com/course/240x135/4757068_86be_3.jpg,VhBXk8MVS-aSbpARX5ZLwA,
3207739,MySQL tworzenie i zarządzanie bazami danych,Szybki kurs z zarządzania i przetwarzania danych w relacyjnych bazach danych za pomocą MySQL,BEGINNER,pl-PL,4.63397741317749,810,21206,False,False,Krzysztof Raczynski,76,0,Highest Rated|Good for Beginners|Good for Beginners|Good for Beginners,2023-12-07,https://www.udemy.com/course/mysql-tworzenie-i-zarzadzanie-bazami-danych,https://www.udemy.com/course/mysql-tworzenie-i-zarzadzanie-bazami-danych/learn,https://img-c.udemycdn.com/course/240x135/3207739_4f7a_2.jpg,8jQNU9SdQ6mf7Rlx15TD3w,
6876525,Power BI de Básico a Experto: Proyecto de Ventas Completo,"Aprende ER, DAX, KPIs construyendo un proyecto completo de ventas: Pareto, Churn, Top y presenta en simulaciones con IA",ALL_LEVELS,es-LA,4.687684059143066,92,83597,False,False,"Iván Chicaiza, Neural Data Academy - Formación Especializada",225,0,,2026-02-16,https://www.udemy.com/course/power-bi-basico-a-experto-proyecto-ventas,https://www.udemy.com/course/power-bi-basico-a-experto-proyecto-ventas/learn,https://img-c.udemycdn.com/course/240x135/6876525_0970_4.jpg,ueVEuEQOQvG2JbOI37lpew,
6520151,"SQL con MySQL Per Web Developer, Data Analysis e E-commerce","Impara a interrogare, aggregare e ottimizzare i tuoi dati: SELECT, JOIN, GROUP BY, subquery, views, EXPLAIN e ancora",ALL_LEVELS,it-IT,4.530276775360107,7,17804,False,False,Hidran Arias,31,0,,2025-12-08,https://www.udemy.com/course/sql-mysql-web-developer-data-analyst-e-commerce,https://www.udemy.com/course/sql-mysql-web-developer-data-analyst-e-commerce/learn,https://img-c.udemycdn.com/course/240x135/6520151_b520_2.jpg,rNMdfSinS3miAEq2RIwmeg,
4937408,Yazılıma Sıfırdan Başlangıç ve Algoritma Eğitimi,Hiçbir bilgisi olmayanlar için algoritma ve programlama eğitimi ve JAVA,BEGINNER,tr-TR,4.036925315856934,17,10899,False,False,Orkun Öztürk,93,0,,2022-11-14,https://www.udemy.com/course/algoritmaveprogramlama,https://www.udemy.com/course/algoritmaveprogramlama/learn,https://img-c.udemycdn.com/course/240x135/4937408_0c25.jpg,iTBVRB2lS4mOBibATzxdhA,
5803668,Learn Python in 2 hours (Hindi),"In this comprehensive 2-hour Python course, you'll swiftly grasp the fundamentals of Python programming.",BEGINNER,hi-IN,,0,8626,False,False,Amul Bhatia,15,0,,2024-02-23,https://www.udemy.com/course/learn-python-in-2-hours-hindi,https://www.udemy.com/course/learn-python-in-2-hours-hindi/learn,https://img-c.udemycdn.com/course/240x135/5803668_5788_4.jpg,M8Ehb9OxTqavfTSzAOjRaw,
2106592,Sıfırdan php ile YÖNETİM PANELLİ KURUMSAL WEB SİTESİ YAPIMI,Tüm detayları ile kurumsal web sistemini beraber yapıyoruz.,INTERMEDIATE,tr-TR,4.107348442077637,377,163891,False,False,Olcay kalyoncuoğlu,471,0,,2026-02-01,https://www.udemy.com/course/sifirdan-php-ile-yonetim-panelli-kurumsal-web-sitesi-yapimi,https://www.udemy.com/course/sifirdan-php-ile-yonetim-panelli-kurumsal-web-sitesi-yapimi/learn,https://img-c.udemycdn.com/course/240x135/2106592_4378_8.jpg,wRyXRHi2SReMgrjWdl1xjA,
